trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-179.49917203120606,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.12157665459056935}",25,0,-13.305372508062732,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.008727963568087723}",25,14,-43.30060904776966,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.75, 'e': 0.002738927449953412}",20,0,-56.91924032345954,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",1
5,False,"{'a': 0.75, 'e': 0.0003329896365316149}",25,11,12.024290073337339,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.75, 'e': 7.617734804586655e-05}",25,0,-67.6198482868861,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.75, 'e': 5.468756486982952e-06}",25,12,20.01124342017541,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.75, 'e': 1.3900845237714517e-06}",20,6,3.9091439192355777,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.75, 'e': 3.180067514517281e-07}",35,11,-3.3737938368199116,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.75, 'e': 2.536626743773543e-08}",30,1,13.397942424212228,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.75, 'e': 1.194783842005007e-09}",25,0,-47.7167203410053,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
12,False,"{'a': 0.75, 'e': 8.577329159021355e-11}",25,11,25.929973332501678,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.75, 'e': 1.9622177898881677e-11}",20,2,25.253725860737447,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 2.9451836354654833e-12}",25,3,17.500380517987224,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 2.9003311457937535e-13}",20,2,20.42765083215973,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.75, 'e': 4.353241455684412e-14}",30,8,23.340631288315524,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 4.2869455157374374e-15}",25,12,-0.8257449001587425,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.75, 'e': 1.0896840314361237e-15}",25,14,-109.60196291690237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
19,False,"{'a': 0.75, 'e': 3.419543954547244e-16}",25,0,-50.061223665608715,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.75, 'e': 2.454883723793308e-17}",25,2,27.560319051922317,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,15.031927625597769,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,2.5034770909056414,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,14.85323123048406,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,5,-20.773710064839882,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,15.611678316817947,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-14.218507688593009,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-57.78944364475529,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,10,16.630710729574954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,1,28.082425536611737,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,19.102505154115534,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",30,21,-7.907985323232927,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,2,26.691257008082538,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,0,22.67708390257918,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",25,13,12.979670235301414,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,0,30.13594339426929,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,3,35.19680645820674,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,10,25.28046369302237,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,6,22.1718387177972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,16,12.775417070514637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,3,29.646239613437512,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
